method,num_nodes,num_edges,num_communities,largest_community,smallest_community,mean_community_size,modularity,coverage,performance,intra_weight_ratio,inter_weight_ratio
leiden,1725.0,9415.0,24.0,217.0,2.0,71.875,0.7739488206047548,0.6184811471056825,0.9260708161000706,0.8506485194982507,0.1493514805017493
louvain,1725.0,9415.0,23.0,223.0,2.0,75.0,0.7606063915873541,0.5998937865108869,0.9195070446215408,0.8456352931137469,0.1543647068862531
greedy_modularity,1725.0,9415.0,29.0,220.0,2.0,59.48275862068966,0.7605438510664447,0.6327137546468401,0.9153428158310636,0.8551284239269562,0.14487157607304377
